What is your age?,What is your gender?,Current job status?,What is your major/job function?,Actively seeking for job?,Have you taken online courses?,"If not taken any online course, why?","If not taken any online course, how likely will you take online courses in the future?",How important would you rate programming as a necessary skill for jobs?,How much are you willing to spend for an online programming course that can potentially benefit your future career?,Will you be more willing to try out the course if given a coupon or free trial?,Is there any feature that you would like to have at online course platforms?,Have you heard of Springboard?,"Taking a look at the course structure below, which program are you more likely to choose?",Reason? (Or any of the criteria that caught your eye),To what scale do you believe you are able to acquire the skill to find a better job through this choice?
23,Female,Graduate,Bioengineering ,Yes,Yes,,,4,"$500 ~ 1,000",Free trial for a limited time,Feedback,Yes,Springboard Career Track,,3
24,Female,Graduate,Student,Yes,No,,3,2,"$500 ~ 1,000",Free trial for a limited time,none,No,Bootcamp,,3
,,Undergraduate,,,Yes,,,3,"$500 ~ 1,000",Free trial for a limited time,trials,No,Springboard Career Track,,3
24,Female,Undergraduate,,Yes,Yes,,4,3,"$500 ~ 1,000",Free trial for a limited time,English,No,Self-guided Online Courses,,3
24,Female,Graduate,Tourism economics,Yes,Yes,,4,5,"$500 ~ 1,000",Free trial for a limited time,"Face to face, answers checking ",No,Springboard Career Track,Be interesting ,4
23,Male,Graduate,Business economics,Yes,No,,4,4,"$1,000 ~ 3,000",Free trial for a limited time,Someone who can check the answers with me ,No,Springboard Career Track,It's most complete,4
22,Female,Undergraduate,Biological Engineering,No,Yes,,3,4,"$1,000 ~ 3,000",Free trial for a limited time,No idea,No,Self-guided Online Courses,,4
23,Male,Graduate,data analysis,Yes,Yes,,,5,">$5,000",Free trial for a limited time,free,No,Bootcamp,short,4
22,Male,Graduate,ME,Yes,Yes,,3,4,"$1,000 ~ 3,000",Free trial for a limited time,1 to 1 tutor,No,Springboard Career Track,,3
,Male,Undergraduate,computer engineering  technology ,No,No,Contact online sometimes did not make sense,1,4,"$500 ~ 1,000",Free trial for a limited time,More Contact,No,Springboard Career Track,,3
25,Female,Graduate,IEOR ,Yes,Yes,,,2,"$500 ~ 1,000",Both,More feedbacks ,No,Master's Program,"Master degree has better credential to companies, and is comprehensive study program",5
22,Male,Employed,Software Development Engineer,No,No,,3,5,"$500 ~ 1,000",Free trial for a limited time,"Offline learning opportunities, private mentor, unlimited retries on purchased courses, follow-up sessions, and recommended related courses based on progress, interests, etc. ",No,Springboard Career Track,Too trivial reasons ,1
23,Male,Undergraduate,Software Engineer,Yes,Yes,,,5,"$500 ~ 1,000",Free trial for a limited time,Tutoring,No,Springboard Skill Track,N/A,3
22,Male,Graduate,Economics,Yes,Yes,,5,5,">$5,000",Free trial for a limited time,Test,Yes,Springboard Skill Track,,5
23,Female,Unemployed,,No,No,,3,3,"$500 ~ 1,000",Free trial for a limited time,practice sets,No,Springboard Skill Track,,3
23,Male,Graduate,Industrial engineering and operations research,Yes,Yes,,,5,"$500 ~ 1,000",Free trial for a limited time, The current features are sufficient. ,No,Self-guided Online Courses,Time flexible ,2
21,Female,Undergraduate,Electric Engineer,No,No,No Time,4,4,"$500 ~ 1,000",Free trial for a limited time,no,No,Springboard Skill Track,Skill,4
,Female,Graduate,,,Yes,,,4,"$500 ~ 1,000",Free trial for a limited time,good webpage design,No,Self-guided Online Courses,,4
22,Male,Graduate,eecs,Yes,Yes,,,5,"$1,000 ~ 3,000",Coupon,no,No,Self-guided Online Courses,cheap,4
22,Female,Undergraduate,Mass communication,Yes,Yes,,3,3,"$500 ~ 1,000",Free trial for a limited time,Live steaming,No,Springboard Career Track,,3
21,Female,Undergraduate,student,Yes,Yes,,,4,"$1,000 ~ 3,000",Coupon,explaining any necessary example（ex.khan,Yes,Springboard Career Track,includeing career coach,4
22,Male,Graduate,Mechanical Engineering,Yes,Yes,,4,5,"$1,000 ~ 3,000",Free trial for a limited time,Live class with reader to grade hw,No,Springboard Skill Track,,3
21,Female,Undergraduate,law and society,Yes,Yes,,5,4,"$500 ~ 1,000",Coupon,organized and convenient,No,Bootcamp,“varies”,3
23,Female,Graduate,biologica science,Yes,Yes,,5,3,"$500 ~ 1,000",Coupon,graded practice,No,Self-guided Online Courses,"anytime, anywhere access",4
23,Female,Graduate,Supply Chain,Yes,Yes,,,4,"$500 ~ 1,000",Free trial for a limited time,Q&A section with professor,No,Springboard Skill Track,less investment,3
23,agender,Employed,,,Yes,,,3,"$500 ~ 1,000",Free trial for a limited time,assistance when stuck,No,Master's Program,"Master's programs are a pre-requisite for jobs I want, I doubt this would be an acceptable replacement",5
19,Female,Undergraduate,Cognitive Science,No,Yes,,4,3,"$500 ~ 1,000",Free trial for a limited time,self-paced,No,Springboard Skill Track,,3
22,Male,Graduate,accounting,Yes,No,,3,5,"$1,000 ~ 3,000",Free trial for a limited time,credibility,No,Springboard Career Track,job guarantee ,3
18,Female,Undergraduate,Toxicology,Yes,Yes,,,4,"$500 ~ 1,000",Free trial for a limited time,Not sure,No,Springboard Career Track,Job guarantee,3
20,Female,Undergraduate,Biology ,No,Yes,,,3,"$500 ~ 1,000",Free trial for a limited time,Flexible ,No,Master's Program,,4
21,Male,Graduate,Mechanical Engineering,Yes,No,Lack of discipline/incentive to do so,4,4,"$500 ~ 1,000",Coupon,Personal deadlines,No,Bootcamp,Short,3
19,Female,Undergraduate,Conservation,No,Yes,,,3,"$500 ~ 1,000",Free trial for a limited time,Mobile compatibility ,No,Self-guided Online Courses,Price ,2
20,Female,Undergraduate,Student,No,Yes,,,4,"$500 ~ 1,000",Coupon,Some way to keep me disciplined enough to return,No,Self-guided Online Courses,Cheapest,3
19,Female,Undergraduate,Integrative Biology ,No,Yes,,3,3,"$500 ~ 1,000",Make the course price less than $500,N/a,No,Self-guided Online Courses,Cheapest,3
23,Male,Graduate,Engineering,Yes,No,,4,5,"$500 ~ 1,000",Free trial for a limited time,Online compiler,Yes,Self-guided Online Courses,,2
22,Female,Graduate,Engineering,Yes,No,Full-time student,1,4,"$500 ~ 1,000",Coupon,Ability to pause and rewind,No,Self-guided Online Courses,,2
22,Male,Graduate,IEOR ,Yes,Yes,,3,3,">$5,000",Coupon,Mentors,No,Master's Program,,4
